pair,name,base
PMPY/USDT,Prometheum Prodigy,PMPY
POL/USDT,Polygon Ecosystem Token,POL
POLK/USDT,Polkamarkets,POLK
POLS/USDT,Polkastarter,POLS
PONKE/USDT,Ponke,PONKE
POOLX/USDT,Poolz Finance,POOLX
POR/USDT,Portuma,POR
PORK/USDT,PepeFork,PORK
PORT3/USDT,Port3 Network,PORT3
PORTAL/USDT,Portal,PORTAL
PORTO/USDT,FC Porto Fan Token,PORTO
PRI/USDT,PRIVATEUM GLOBAL,PRI
PRINT/USDT,Print Protocol,PRINT
PROS/USDT,Prosper,PROS
PROTEO/USDT,Proteo DeFi,PROTEO
PSTAKE/USDT,pSTAKE Finance,PSTAKE
PTX/USDT,PlatinX,PTX
PUNCH/USDT,PUNCHWORD,PUNCH
PWC/USDT,PixelWorldCoin,PWC
PYTH/USDT,Pyth Network,PYTH
PYUSD/USDT,PayPal USD,PYUSD
QANX/USDT,QANplatform,QANX
QIE/USDT,Qi Blockchain,QIE
QNT/USDT,Quant,QNT
QTUM/USDT,Qtum,QTUM
QTUM/BTC,Qtum,QTUM
QUACK/USDT,RichQUACK.com,QUACK
QUICK/USDT,Quickswap [New],QUICK
QUINT/USDT,QUINT,QUINT
RABI/USDT,Rabi,RABI
RACA/USDT,RACA,RACA
RACA/USDC,RACA,RACA
RAIN/USDT,Rainmaker Games,RAIN
RAKE/USDT,Rake Coin,RAKE
RARE/USDT,SuperRare,RARE
RARI/USDT,Rarible,RARI
rats/USDT,rats (Ordinals),RATS
RAY/USDT,Raydium,RAY
RBLS/USDT,Rebel Bots,RBLS
RBN/USDT,Ribbon Finance,RBN
RBW/USDT,Rainbow Token,RBW
RDEX/USDT,Orders.Exchange,RDEX
RDNT/USDT,Radiant Capital,RDNT
REBUS/USDT,Rebuschain,REBUS
REN/USDT,Ren,REN
RENQ/USDT,Renq Finance,RENQ
REP/USDT,Augur,REP
RFD/USDT,RefundCoin,RFD
RFUEL/USDT,RioDeFi,RFUEL
RLC/USDT,iExec RLC,RLC
RMV/USDT,Reality Metaverse,RMV
RNDR/USDT,Render,RNDR
ROCKY/USDT,Rocky,ROCKY
RONIN/USDT,Ronin,RONIN
RPL/USDT,Rocket Pool,RPL
RSR/USDT,Reserve Rights,RSR
RSS3/USDT,RSS3,RSS3
SABAI/USDT,Sabai Ecoverse,SABAI
SAMO/USDT,Samoyedcoin,SAMO
SAND/USDT,The Sandbox,SAND
SAND/USDC,The Sandbox,SAND
SANTOS/USDT,Santos FC Fan Token,SANTOS
SATS/USDT,SATS (Ordinals),SATS
SAVM/USDT,SatoshiVM,SAVM
SCLP/USDT,Scallop,SCLP
SDEX/USDT,SmarDex,SDEX
SEI/USDT,Sei,SEI
